ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	DefaultImeMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	MultiLine	ForeColor	Visible	Alignment	Square	MasterCheck	FullLength	CharacterCasing
T	変更情報_法人_記入日_				X		8	yyyymmdd\n全て西暦で入力。和暦で記載されている場合は、西暦に読み替え。	11110001							\d	T	1					T			
T	変更情報_法人_法人名_				N		120	記載の通りに入力。\n但し、略された会社の種類は、略さず入力(例．株式会社、有限会社）　。\nまた、法人名との間は全角1スペース入れる	11110001								T	2								U
T	変更情報_法人_住所①_				N		50	大文字小文字を記載通り入力	11110001								T	3								U
T	変更情報_法人_住所②_				N		150	大文字小文字を記載通り入力	11110001								T	4								U
T	変更情報_法人_住所③_				N		30	大文字小文字を記載通り入力	11110001								T	5								U
T	変更情報_法人_設立年月日_				X		8	yyyymmdd\n全て西暦で入力。和暦で記載されている場合は、西暦に読み替え。	11110001							\d	T	6					T			
T	変更情報_法人_法人名フリガナ_				AH		120	拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110001								T	7								U
T	変更情報_法人_郵便番号_				X		8	999-9999形式\n「-」ハイフン有、前3桁の場合のみ、後ろ4桁は0埋め入力\n前3桁、後2桁の場合には後ろ2桁を0埋め入力	11110001							^[0-9\-]+$	T	8					T		T	
T	変更情報_法人_住所カナ_				AH		120	拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110001								T	9								U
T	変更情報_法人_電話番号_				X		14	「-」ハイフン有	11110001							^[0-9\-]+$	T	10					T			
T	変更情報_法人_法人番号_				X		13	記載の通りに入力。	11110001							\d	T	11					T			
T	変更情報_法人_e-mail_				X		256	記載の通りに入力。	11110001								T	12								
T	設立国_設立国チェック　日本・日本以外_				X		1	\n1　：日本\n2　：日本以外\nnull：チェック無し\n!　：2つにチェックあり、判断不能	11110001	^(1|2|!)						\d	T	13								
T	設立国_設立国_				X		3	国コード一覧に準ずる。国名で記入されている場合は、コードに置換して入力	11110001							\d	T	14					T			
T	ご記入いただいた方のご連絡先_氏名_				N		120	姓と名の間に全角1スペース入れる。	11110001								T	15								
T	ご記入いただいた方のご連絡先_氏名_				N		120	姓と名の間に全角1スペース入れる。	11110001								T	16								
T	ご記入いただいた方のご連絡先_氏名フリガナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110001								T	17								U
T	ご記入いただいた方のご連絡先_氏名フリガナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110001								T	18								U
T	ご記入いただいた方のご連絡先_役職_				X		2	設問回答に記載されたコードを入力	11110001							\d	T	19					T			
T	ご記入いただいた方のご連絡先_電話番号_				X		14	「-」ハイフン有	11110001							^[0-9\-]+$	T	20					T			
T	代表者情報_代表者名_				N		120	姓と名の間に全角1スペース入れる。	11110001								T	21								
T	代表者情報_代表者名_				N		120	姓と名の間に全角1スペース入れる。	11110001								T	22								
