ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	DefaultImeMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	MultiLine	ForeColor	Visible	Alignment	Square	MasterCheck	FullLength	CharacterCasing
T	変更情報_法人_記入日_				X		8	yyyymmdd\n全て西暦で入力。和暦で記載されている場合は、西暦に読み替え。	11110001							^[\d\*!?]+$	T	1					T		T	
T	変更情報_法人_法人名_				N		120	記載の通りに入力。\n但し、略された会社の種類は、略さず入力(例．株式会社、有限会社）　。\nまた、法人名との間は全角1スペース入れる	11110001								T	2								
T	変更情報_法人_住所①_				N		50	大文字小文字を記載通り入力	11110001								T	3								
T	変更情報_法人_住所②_				N		150	大文字小文字を記載通り入力	11110001								T	4								
T	変更情報_法人_住所③_				N		30	大文字小文字を記載通り入力	11110001								T	5								
T	変更情報_法人_設立年月日_				X		8	yyyymmdd\n全て西暦で入力。和暦で記載されている場合は、西暦に読み替え。	11110001							^[\d\*!?]+$	T	6					T		T	
T	変更情報_法人_法人名フリガナ_				AH		120	拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110001							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	7								U
T	変更情報_法人_郵便番号_				X		8	999-9999形式\n「-」ハイフン有、前3桁の場合のみ、後ろ4桁は0埋め入力\n前3桁、後2桁の場合には後ろ2桁を0埋め入力	11110001							^[0-9\-*!?]+$	T	8					T		T	
T	変更情報_法人_住所カナ_				AH		120	拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110001							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	9								U
T	変更情報_法人_電話番号_				X		14	「-」ハイフン有	11110002							^[0-9\-*!?]+$	T	10					T			
T	変更情報_法人_法人番号_				X		13	記載の通りに入力。	11110002							^[\da-zA-Zｧ-ﾝﾞﾟ\*!?]+$	T	11					T			
T	変更情報_法人_e-mail_				X		256	記載の通りに入力。	11110003							^[\d\a-z\*!?]+$	T	12								
T	設立国_設立国チェック　日本・日本以外_				X		1	1　：日本\n2　：日本以外\nnull：チェック無し\n!　：2つにチェックあり、判断不能	11110004	^(|1|2|!)$						^[\d!]+$	T	13								
T	設立国_設立国_				X		3	国コード一覧に準ずる。国名で記入されている場合は、コードに置換して入力	11110004							^[\d\*!?]+$	T	14					T			
T	ご記入いただいた方のご連絡先_氏名_				N		120	姓と名の間に全角1スペース入れる。	11110005								T	15								
T	ご記入いただいた方のご連絡先_氏名_				N		120	姓と名の間に全角1スペース入れる。	11110005								T	16								
T	ご記入いただいた方のご連絡先_氏名フリガナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110005							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	17								U
T	ご記入いただいた方のご連絡先_氏名フリガナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110005							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	18								U
T	ご記入いただいた方のご連絡先_役職_				X		2	設問回答に記載されたコードを入力	11110006							^[\d\*!?]+$	T	19					T			
T	ご記入いただいた方のご連絡先_電話番号_				X		14	「-」ハイフン有	11110007							^[0-9\-*!?]+$	T	20					T			
T	代表者情報_代表者名_				N		120	姓と名の間に全角1スペース入れる。	11110008								T	21								
T	代表者情報_代表者名_				N		120	姓と名の間に全角1スペース入れる。	11110008								T	22								
T	代表者情報_代表者名フリガナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110008							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	23								U
T	代表者情報_アルファベット名_				AH		120	ファースト/ミドル/ラストネームの間に1スペース入れる。\nアルファベットは全て大文字（例：a→A）	11110008							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	24								U
T	代表者情報_代表者名フリガナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110008							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	25								U
T	代表者情報_住所統合_				N		230	大文字小文字を記載通り入力	11110009								T	26								
T	代表者情報_郵便番号_				X		8	999-9999形式\n「-」ハイフン有、前3桁の場合のみ、後ろ4桁は0埋め入力\n前3桁、後2桁の場合には後ろ2桁を0埋め入力	11110009							^[0-9\-*!?]+$	T	27					T		T	
T	代表者情報_住所①_				N		50	大文字小文字を記載通り入力	11110009								T	28								
T	代表者情報_住所②_				N		150	大文字小文字を記載通り入力	11110009								T	29								
T	代表者情報_住所③_				N		30	大文字小文字を記載通り入力	11110009								T	30								
T	代表者情報_生年月日_				X		8	yyyymmdd\n全て西暦で入力。和暦で記載されている場合は、西暦に読み替え。	11110010							^[\d\*!?]+$	T	31					T		T	
T	代表者情報_国籍チェック_				X		1	1　：日本\n2　：日本以外\nnull：チェック無し\n!　：2つにチェックあり、判読不明	11110011	^(|1|2|!)$						^[\d!]+$	T	32								
T	代表者情報_国籍_				X		3	国コード一覧に準ずる。国名で記入されている場合は、コードに置換して入力	11110011							^[\d\*!?]+$	T	33					T			
T	代表者情報_在留資格_				X		2	設問回答に記載されたコードを入力	11110011							^[\d\*!?]+$	T	34					T			
T	代表者情報_在留期限_				X		8	yyyymmdd\n全て西暦で入力。和暦で記載されている場合は、西暦に読み替え。	11110011							^[\d\*!?]+$	T	35					T		T	
T	代表者情報_国籍_				X		3	国コード一覧に準ずる。国名で記入されている場合は、コードに置換して入力	11110011							^[\d\*!?]+$	T	36					T			
T	代表者情報_在留資格_				X		2	設問回答に記載されたコードを入力	11110011							^[\d\*!?]+$	T	37					T			
T	代表者情報_国籍チェック_				X		1	1　：日本\n2　：日本以外\nnull：チェック無し\n!　：2つにチェックあり、判読不明	11110011	^(|1|2|!)$						^[\d!]+$	T	38								
T	代表者情報_国籍_				X		3	国コード一覧に準ずる。国名で記入されている場合は、コードに置換して入力	11110011							^[\d\*!?]+$	T	39					T			
T	重要人物情報（外国PEPs）_氏名ーカナ_				AH		120	姓と名の間に半角1スペース入れる。\n拗音・促音・アルファベットは文字では大文字（例：ュ→ユ,a→A）で入力	11110011							^[a-zA-Zｧ-ﾝﾞﾟ\ *$!?]+$	T	40								U
T	代表者情報_外国PEPsチェック_				X		1	1：該当する\n2：該当しない\nnull：チェック無し\n!　：複数チェック、判読不明	11110011	^(|1|2|!)$						^[\d!]+$	T	41								
T	代表者情報_外国PEPs詳細_				N		120	記載の通りに入力。	11110011								T	42								
T	代表者情報_外国PEPsチェック_				X		1	1：該当する\n2：該当しない\nnull：チェック無し\n!　：複数チェック、判読不明	11110011	^(|1|2|!)$						^[\d!]+$	T	43								
