ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	MultiLine	ForeColor	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	CharacterCasing
G		1	2							生命保険契約申込書＜総合型＞	4740	900		100		T	1																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	2																		
T	申込番号	0.5	14	T	X	10		f					991		^\d	T	3																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	4																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	5																		
T	契約者　自署（姓）	7.5	2		H	30		T					102			T	6																		
T	契約者　自署（名）	7.5	35		H	30		T					102			T	7																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	8																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	9																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	10																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	11																		
T	契約者　自署（姓）	7.5	2		H	30		T					102			T	12																		
T	契約者　自署（名）	7.5	35		H	30		T					102			T	13																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	14																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	15																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	16																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	17																		
T	契約者　自署（姓）	7.5	2		H	30		T					102			T	18																		
T	契約者　自署（名）	7.5	35		H	30		T					102			T	19																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	20																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	21																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	22																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	23																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				24																		
T	契約者　自署（名）	7.5	35		H	30		T					102				25																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	26																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	27																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	28																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	29																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				30																		
T	契約者　自署（名）	7.5	35		H	30		T					102				31																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	32																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	33																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	34																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	35																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				36																		
T	契約者　自署（名）	7.5	35		H	30		T					102				37																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	38																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	39																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	40																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	41																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				42																		
T	契約者　自署（名）	7.5	35		H	30		T					102				43																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	44																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	45																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	46																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	47																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				48																		
T	契約者　自署（名）	7.5	35		H	30		T					102				49																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	50																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	51																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	52																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	53																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				54																		
T	契約者　自署（名）	7.5	35		H	30		T					102				55																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	56																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	57																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	58																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	59																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				60																		
T	契約者　自署（名）	7.5	35		H	30		T					102				61																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	62																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	63																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	64																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	65																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				66																		
T	契約者　自署（名）	7.5	35		H	30		T					102				67																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	68																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	69																		
T	契約者　フリガナ（姓）	1.5	2		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	70																		
T	契約者　フリガナ（名）	1.5	35		KF	30		T					102		^[\u30A1-\u30F4\u30FC）（]*$	T	71																		
T	契約者　自署（姓）	7.5	2		H	30		T					102				72																		
T	契約者　自署（名）	7.5	35		H	30		T					102				73																		
T	申込書記入日	0.5	18		X	8		T					101		^\d	T	74																		
T	申込番号	0.5	14		X	10		T					991		^\d	T	75																		
