ItemKind	ItemName	TabIndex	InputMode	MaxLength	Tips	Enabled	ValidPattern	Regex	TabStop	Text	MultiLine	ForeColor	Visible	Input2	IsAgencyCd	HandlerCd	Alignment	CharacterCasing	TextAddMode	Location_Row	Location_Column	Height	Width	GroupBox	ControlName	Square	ReadOnly	Conditional_Required_Item	Conditional_Required_Value	Conditional_Required_Omit_Value	Required	FullLength	DR
T	生年月日確認チェック	1	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	年収チェック	2	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	金融資産チェック	3	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	運用予定額チェック	4	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	投資目的（投資方針）チェック	5	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	投資目的（投資期間）チェック	6	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	ご職業チェック	7	X	2	00：チェック無し、01：農林水産業、02：開業医、03：勤務医、04：弁護士・公認会計士・税理士・司法書士・行政書士、05：官公庁　職員、06：官公庁　管理職、07：教職員、08：学生、09：主婦、10：無職、11：自営業、12：上場会社　役員・代表者、13：上場会社　管理職、14：上場会社　職員、15：未上場会社・団体　役員・代表者、16：未上場会社・団体　管理職、17：未上場会社・団体　職員、18：その他の職業、99：複数チェック有り	T	^(|00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|99)$	^\d	T											1	1												
T	ご職業自由記述欄	8	X	2		T			T											1	1												
T	国籍_日本	9	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	国籍_日本以外	10	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	日本以外国籍１	11	N	20		T			T											1	1												
T	日本以外国籍２	12	N	20		T			T											1	1												
T	運用原資_給与（退職金含む）	13	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	運用原資_貯蓄	14	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	運用原資_年金	15	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	運用原資_相続・贈与	16	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
T	運用原資_事業収入	17	X	1	チェックなしは"0"、チェックありは"1"	T	^(|0|1)$	^\d	T											1	1												
