ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	DefaultImeMode	MaxLength	Tips	Enabled	Mailaddress	DateFormat	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	DummyItem	Square	FullLength	CharacterCasing	ReadOnly	MultiLine	ForeColor	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	MasterCheck	Conditional_Required_Item	JumpTab
T	項目００１	1	1		X		1		T										T	1																									
T	項目００２	1	1		X		2		T										T	2																									
T	項目００３	1	1		X		3		T										T	3																									
T	項目００４	1	1		X		4		T										T	4																									
T	項目００５	1	1		X		5		T										T	5																									
T	項目００６	1	1		KF		6		T										T	6		T																							
T	項目００７	1	1		X		7		T										T	7		T																							
T	項目００８	1	1		KH		8		T			^[A-Z]$							T	8		T		U																		R			
T	項目００９	1	1		AH		9		T			^[A-Z]$						\d	T	9		T		U																		R			
T	項目０１０	1	1		N		10		T										T	10																									
T	項目０１１	1	1		X		1		T		yyyyMMdd								T	11																									
T	項目０１２	1	1		X		2		T										T	12																									
T	項目０１３	1	1		X		3		T										T	13																									
T	項目０１４	1	1		X		4		T										T	14																									
T	項目０１５	1	1		AH		5		T										T	15				U																					
T	項目０１６	1	1		X		6		T										T	16																									
T	項目０１７	1	1		X		7		T										T	17																									
T	項目０１８	1	1		X		8		T										T	18																									
T	項目０１９	1	1		X		9		T										T	19																									
T	項目０２０	1	1		X		10		T	T									T	20																									
T	項目０２１	1	1		X		1		T										T	21																									
T	項目０２２	1	1		X		2		T										T	22																									
T	項目０２３	1	1		X		3		T										T	23																									
T	項目０２４	1	1		X		4		T										T	24																									
T	項目０２５	1	1		X		5		T										T	25																									
T	項目０２６	1	1		X		6		T										T	26																									
T	項目０２７	1	1		X		7		T										T	27																									
T	項目０２８	1	1		X		8		T										T	28																									
T	項目０２９	1	1		X		9		T										T	29																									
T	項目０３０	1	1		X		10		T										T	30																									T
T	項目０３１	1	1		X		1		T										T	31																									
T	項目０３２	1	1		X		2		T										T	32																									
T	項目０３３	1	1		X		3		T										T	33																									
T	項目０３４	1	1		X		4		T										T	34																									
T	項目０３５	1	1		X		5		T										T	35																									
T	項目０３６	1	1		X		6		T										T	36																									
T	項目０３７	1	1		X		7		T										T	37																									
T	項目０３８	1	1		X		8		T										T	38																									
T	項目０３９	1	1		X		9		T										T	39																									
T	項目０４０	1	1		X		10		T										T	40																									
T	項目０４１	1	1		X		1		T										T	41																									
T	項目０４２	1	1		X		2		T										T	42																									
T	項目０４３	1	1		X		3		T										T	43																									
T	項目０４４	1	1		X		4		T										T	44																									
T	項目０４５	1	1		X		5		T										T	45																									
T	項目０４６	1	1		X		6		T										T	46																									
T	項目０４７	1	1		X		7		T										T	47																									
T	項目０４８	1	1		X		8		T										T	48																									
T	項目０４９	1	1		X		9		T										T	49																									
T	項目０５０	1	1		X		10		T										T	50																									
T	項目０５１	1	1		X		1		T										T	51																									
T	項目０５２	1	1		X		2		T										T	52																									
T	項目０５３	1	1		X		3		T										T	53																									
T	項目０５４	1	1		X		4		T										T	54																									
T	項目０５５	1	1		X		5		T										T	55																									
T	項目０５６	1	1		X		6		T										T	56																									
T	項目０５７	1	1		X		7		T										T	57																									
T	項目０５８	1	1		X		8		T										T	58																									
T	項目０５９	1	1		X		9		T										T	59																									
T	項目０６０	1	1		X		10		T										T	60																									T
T	項目０６１	1	1		X		1		T										T	61																									
T	項目０６２	1	1		X		2		T										T	62																									
T	項目０６３	1	1		X		3		T										T	63																									
T	項目０６４	1	1		X		4		T										T	64																									
T	項目０６５	1	1		X		5		T										T	65																									
T	項目０６６	1	1		X		6		T										T	66																									
T	項目０６７	1	1		X		7		T										T	67																									
T	項目０６８	1	1		X		8		T										T	68																									
T	項目０６９	1	1		X		9		T										T	69																									
T	項目０７０	1	1		X		10		T										T	70																									
T	項目０７１	1	1		X		1		T										T	71																									
T	項目０７２	1	1		X		2		T										T	72																									
T	項目０７３	1	1		X		3		T										T	73																									
T	項目０７４	1	1		X		4		T										T	74																									
T	項目０７５	1	1		X		5		T										T	75																									
T	項目０７６	1	1		X		6		T										T	76																									
T	項目０７７	1	1		X		7		T										T	77																									
T	項目０７８	1	1		X		8		T										T	78																									
T	項目０７９	1	1		X		9		T										T	79																									
T	項目０８０	1	1		X		10		T										T	80																									
T	項目０８１	1	1		X		1		T										T	81																									
T	項目０８２	1	1		X		2		T										T	82																									
