ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	MultiLine	ForeColor	Visible	Input2	IsPostCd	Address	AddressKana	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	CharacterCasing	TextAddMode	Chk_Length_Strictly	Square	DummyItem	MasterCheck
T	銀行CD				X	4		F							\d	T	1																	T		
T	店版				X	3		F							\d	T	2																	T		
T	CIF番号				X	10		F							\d	T	3																	T		
T	帳票種別				X	1		F							\d	T	4																			
T	回答種別				X	1		F							\d	T	5																			
T	データ基準日_年月日				X	8		F							\d	T	6																	T		
T	受理日_年月日				X	8		F							\d	T	7																	T		
T	HML区分				X	1		F							\d	T	8																			
T	記入者_セイ				KF	50		F								T	9																			
T	記入者_メイ				KF	50		F								T	10																			
T	記入者_姓				N	50		F								T	11																			
T	記入者_名				N	50		F								T	12																			
T	記入者_役職				N	20		F								T	13																			
T	記入者_ご連絡先電話番号				X	13		F							^[0-9\-]+$	T	14																	T		
T	法人名				N	50		01010001								T	15																			
T	代表者名				N	50		01010001								T	16																			
T	法人お届け内容変更_法人名				N	50		01010001								T	17																			
T	法人お届け内容変更_設立年月日				X	8		F							\d	T	18																	T		
T	法人お届け内容変更_郵便番号				X	7		01010001							\d	T	19																	T		
T	法人お届け内容変更_ご住所				N	60		01010001								T	20																			
T	法人お届け内容変更_電話番号				X	13		01010001							^[0-9\-]+$	T	21																	T		
T	上場会社該当チェック				X	1		01010001	^(|0|1)$						\d	T	22																			
T	実質的支配者1_セイ				KF	50		01010001								T	23																			
T	実質的支配者1_メイ				KF	50		01010001								T	24																			
T	実質的支配者1_姓				N	50		01010001								T	25																			
T	実質的支配者1_名				N	50		01010001								T	26																			
T	実質的支配者1_生年月日				X	8		01010001							\d	T	27																	T		
T	実質的支配者1_郵便番号				X	7		01010001							\d	T	28																	T		
T	実質的支配者1_ご住所				N	60		01010001								T	29																			
T	実質的支配者1_法人との関係				X	1		01010001								T	30																			
T	実質的支配者2_セイ				KF	50		01010001								T	31																			
T	実質的支配者2_メイ				KF	50		01010001								T	32																			
T	実質的支配者2_姓				N	50		01010001								T	33																			
T	実質的支配者2_名				N	50		01010001								T	34																			
T	実質的支配者2_生年月日				X	8		01010001							\d	T	35																	T		
T	実質的支配者2_郵便番号				X	7		01010001							\d	T	36																	T		
T	実質的支配者2_ご住所				N	60		01010001								T	37																			
T	実質的支配者2_法人との関係				X	1		01010001								T	38																			
T	実質的支配者3_セイ				KF	50		01010001								T	39																			
T	実質的支配者3_メイ				KF	50		01010001								T	40																			
T	実質的支配者3_姓				N	50		01010001								T	41																			
T	実質的支配者3_名				N	50		01010001								T	42																			
T	実質的支配者3_生年月日				X	8		01010001							\d	T	43																	T		
T	実質的支配者3_郵便番号				X	7		01010001							\d	T	44																	T		
T	実質的支配者3_ご住所				N	60		01010001								T	45																			
T	実質的支配者3_法人との関係				X	1		01010001								T	46																			
T	個人お届け内容変更_姓				N	50		02010001								T	47																			
