TabIndex	ItemKind	ItemName	MaxLength	Location_Row	Location_Column	Required	InputMode	DefaultIMEMode	Tips	Enabled	ValidPattern	ValidPattern_org	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	MultiLine	ForeColor	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	TextAddMode
1	T	団体名	16	1	1		AH	K		T									T																		
2	T	団体名（漢字）	16	1	1		H			T									T																		
3	T	帳票番号	7	1	1	T	X			T	^(|64025|64025-1)$	^(|64025|64025-1)$						^[0-9\-]+$	T																		
4	T	証券番号・主番	10	1	1		AH			T									T																		
5	T	証券番号・枝番	3	1	1		X			T								\d	T																		
6	T	送付書番号	5	1	1		AH			T									T																		
7	T	部店・担当店＿上部	4	1	1		AH			T									T																		
8	T	代理店コード	5	1	1		AH			T									T																		
9	T	代理店サブコード	3	1	1		AH			T									T																		
10	T	1 保険種類コード	4	1	1		AH			T									T																		
11	T	1 種目別代理店コード	5	1	1		AH			T									T																		
12	T	1 種目代理店サブコード	3	1	1		AH			T									T																		
13	T	1 団体コード	5	1	1		AH			T									T																		
14	T	1 払込方法（一時払）	2	1	1		AH			T		^(|10)$							T																		
15	T	1 払込方法（団体１２回払）	2	1	1		AH			T		^(|63)$							T																		
16	T	1 払込方法（団体６回払）	2	1	1		AH			T		^(|62)$							T																		
17	T	1 払込方法（団体２回払）	2	1	1		AH			T		^(|61)$							T																		
18	T	1 払込方法（団体一時払支払い猶予）	2	1	1		AH			T		^(|60)$							T																		
19	T	1 払込方法（一般分割１２回払）	2	1	1		AH			T		^(|46)$							T																		
20	T	1 払込方法（一般分割２回払）	2	1	1		AH			T		^(|30)$							T																		
21	T	1 払込方法（一般分割６回払）	2	1	1		AH			T		^(|42)$							T																		
22	T	1 払込方法（一般分割１１回口振）	2	1	1		AH			T		^(|75)$							T																		
23	T	1 共同保険特約（なし）	1	1	1		AH			T		^(|1)$							T																		
24	T	1 共同保険特約（幹事）	1	1	1		AH			T		^(|2)$							T																		
25	T	1 代理店／仲立人　分担（なし）	1	1	1		AH			T		^(|1)$							T																		
26	T	1 代理店／仲立人　分担（幹事）	1	1	1		AH			T		^(|2)$							T																		
27	T	1 補正　代理店コード	5	1	1		AH			T									T																		
28	T	1 補正　代理店サブコード	3	1	1		AH			T									T																		
29	T	1 補正 割合	9	1	1		X			T								^[0-9\.]+$	T																	R	
30	T	1 自己特定（自己）	1	1	1		AH			T		^(|4)$							T																		
31	T	1 自己特定（特定）	1	1	1		AH			T		^(|5)$							T																		
32	T	1 手数料区分（その他団体（団割無））	1	1	1		AH			T		^(|1)$							T																		
33	T	1 手数料区分（一般団体（団割有、事務費無））	1	1	1		AH			T		^(|2)$							T																		
34	T	1 手数料区分（一般団体（団割有、事務費有３％））	1	1	1		AH			T		^(|3)$							T																		
35	T	1 手数料区分（特殊手数料）	1	1	1		AH			T		^(|4)$							T																		
36	T	1 特殊手数料（率）	9	1	1		X			T								^[0-9\.]+$	T																	R	
37	T	1 特殊手数料（集金事務費）	9	1	1		X			T								^[0-9\.]+$	T																	R	
38	T	1 再保険種類	3	1	1		AH			T									T																		
39	T	2 保険種類コード	4	1	1		AH			T									T																		
40	T	2 種目別代理店コード	5	1	1		AH			T									T																		
41	T	2 種目代理店サブコード	3	1	1		AH			T									T																		
42	T	2 団体コード	5	1	1		AH			T									T																		
43	T	2 払込方法（一時払）	2	1	1		AH			T		^(|10)$							T																		
