TabIndex	ItemKind	ItemName	Required	InputMode	DefaultIMEMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	MultiLine	ForeColor	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	TextAddMode	Square
1	T	種目		AH		2		T								T																			
2	T	帳票番号		AH		5		T								T																			
3	T	管理番号		AH		8		T								T																			
4	T	奇偶表示		AH		1		T								T																			
5	T	締め表示		AH		1		T								T																			
6	T	扱年月日		X		6		T							\d	T																			
7	T	担当者名		AH	K	10		T								T																			
8	T	帳票枚数		X		6		T							\d	T																	R		
9	T	契約件数		X		6		T							\d	T																	R		
10	T	種類コード		AH		4		T								T																			
