TabIndex	ItemKind	ItemName	MaxLength	Required	InputMode	DefaultIMEMode	Tips	Enabled	ValidPattern	ValidPattern_org	Text	Height	Width	GroupBox	ControlName	Regex	MultiLine	ForeColor	TabStop	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	TextAddMode	Square
1	T	帳票番号	7	T	X			T	^(|54267-1)$	^(|54267-1)$						^[0-9\-]+$																				
2	T	郵便番号	7		X			T								\d																				
3	T	電話番号	20		X			T								^[0-9\-]+$																				
4	T	携帯電話番号	20		X			T								^[0-9\-]+$																				
5	T	申込人（加入者）住所１（漢字）	15		H			T																												
6	T	申込人（加入者）住所２（漢字）	15		H			T																												
7	T	申込人（加入者）住所３（漢字）	15		H			T																												
8	T	申込人（加入者）住所 １	22		AH	K		T																												
9	T	申込人（加入者）住所 ２	22		AH	K		T																												
10	T	申込人（加入者）住所 ３	22		AH	K		T																												
11	T	申込人（加入者）氏名１（漢字）	15		H			T																												
12	T	申込人（加入者）氏名２（漢字）	15		H			T																												
13	T	申込人（加入者）氏名３（漢字）	15		H			T																												
14	T	申込人（加入者）氏名・法人名	50		AH	K		T																												
15	T	申込人（加入者）氏名・肩書	30		AH	K		T																												
16	T	申込人（加入者）氏名・代表者名	20		AH	K		T																												
17	T	性別（男）	1		X			T	^(|1)$	^(|1)$						\d																				
18	T	性別（女）	1		X			T	^(|2)$	^(|2)$						\d																				
19	T	生年月日（大）	1		X			T	^(|2)$	^(|2)$						\d																				
20	T	生年月日（昭）	1		X			T	^(|3)$	^(|3)$						\d																				
21	T	生年月日（平）	1		X			T	^(|4)$	^(|4)$						\d																				
22	T	生年月日（令）	1		X			T	^(|5)$	^(|5)$						\d																				
23	T	生年月日（年月日）	6		X			T								\d																				
24	T	扶養者	20		AH	K		T																												
25	T	明細整理番号  １	20		AH			T																												
26	T	明細整理番号  ２	20		AH			T																												
27	T	明細整理番号  ３	20		AH			T																												
28	T	明細整理番号  ４	20		AH			T																												
29	T	明細整理番号  ５	20		AH			T																												
30	T	明細整理番号  ６（漢字）1	15		H			T																												
31	T	明細整理番号  ６（漢字）2	15		H			T																												
32	T	明細整理番号  ７（漢字）1	15		H			T																												
33	T	明細整理番号  ７（漢字）2	15		H			T																												
34	T	合計保険料	13		X			T								\d																		R		
35	T	即時保険料	13		X			T								\d																		R		
36	T	1 加入者との関係	1		AH			T		^(|1)$																										
37	T	被保険者氏名１　（漢字）	15		H			T																												
38	T	1 氏名	20		AH	K		T																												
39	T	1 性別（男）	1		X			T	^(|1)$	^(|1)$						\d																				
40	T	1 性別（女）	1		X			T	^(|2)$	^(|2)$						\d																				
41	T	1 傷害級別	1		AH			T																												
42	T	1 生年月日（大）	1		X			T	^(|2)$	^(|2)$						\d																				
43	T	1 生年月日（昭）	1		X			T	^(|3)$	^(|3)$						\d																				
44	T	1 生年月日（平）	1		X			T	^(|4)$	^(|4)$						\d																				
45	T	1 生年月日（令）	1		X			T	^(|5)$	^(|5)$						\d																				
46	T	1 生年月日（年月日）	6		X			T								\d																				
47	T	1続柄（加入者との関係）（本人）	1		AH			T		^(|1)$																										
48	T	1続柄（加入者との関係）（配偶者）	1		AH			T		^(|2)$																										
49	T	1続柄（加入者との関係）（子供）	1		AH			T		^(|3)$																										
50	T	1続柄（加入者との関係）（親）	1		AH			T		^(|4)$																										
51	T	1続柄（加入者との関係）（兄弟姉妹）	1		AH			T		^(|5)$																										
52	T	1続柄（加入者との関係）（その他同居親族）	1		AH			T		^(|6)$																										
53	T	1続柄（加入者との関係）（役職員・その家族）	1		AH			T		^(|7)$																										
54	T	1被保険者番号	10		AH			T																												
55	T	1職業職種名	16		AH	K		T																												
56	T	1 型 ． ０１	4		AH			T																												
57	T	1 口数．０１	2		X			T								\d																		R		
58	T	１保険料．０１	9		X			T								\d																		R		
59	T	１即時追加保険料．０１	9		X			T								\d																		R		
60	T	1 型 ． ０２	4		AH			T																												
61	T	1 口数．０２	2		X			T								\d																		R		
62	T	１保険料．０２	9		X			T								\d																		R		
63	T	１即時追加保険料．０２	9		X			T								\d																		R		
64	T	1 型 ． ０３	4		AH			T																												
65	T	1 口数．０３	2		X			T								\d																		R		
66	T	１保険料．０３	9		X			T								\d																		R		
67	T	１即時追加保険料．０３	9		X			T								\d																		R		
68	T	1 型 ． ０４	4		AH			T																												
69	T	1 口数．０４	2		X			T								\d																		R		
70	T	１保険料．０４	9		X			T								\d																		R		
71	T	１即時追加保険料．０４	9		X			T								\d																		R		
72	T	1 型 ． ０５	4		AH			T																												
73	T	1 口数．０５	2		X			T								\d																		R		
74	T	１保険料．０５	9		X			T								\d																		R		
75	T	１即時追加保険料．０５	9		X			T								\d																		R		
76	T	1 不担保疾病種目コード．０１	4		AH			T																												
77	T	1 不担保疾病群．０１	20		AH	K		T																												
78	T	1 不担保疾病名．０１	20		AH	K		T																												
79	T	1 不担保疾病名．０２	20		AH	K		T																												
80	T	1 不担保疾病名．０３	20		AH	K		T																												
81	T	1 不担保疾病種目コード．０２	4		AH			T																												
82	T	1 不担保疾病群．０２-01	20		AH	K		T																												
83	T	1 不担保疾病名．０２-01	20		AH	K		T																												
84	T	1 不担保疾病名．０２-02	20		AH	K		T																												
85	T	1 不担保疾病名．０２-03	20		AH	K		T																												
86	T	被保険者氏名２　（漢字）	15		H			T																												
87	T	2 氏名	20		AH	K		T																												
88	T	2 性別（男）	1		X			T	^(|1)$	^(|1)$						\d																				
89	T	2 性別（女）	1		X			T	^(|2)$	^(|2)$						\d																				
90	T	2 傷害級別	1		AH			T																												
91	T	2 生年月日（大）	1		X			T	^(|2)$	^(|2)$						\d																				
92	T	2 生年月日（昭）	1		X			T	^(|3)$	^(|3)$						\d																				
93	T	2 生年月日（平）	1		X			T	^(|4)$	^(|4)$						\d																				
94	T	2 生年月日（令）	1		X			T	^(|5)$	^(|5)$						\d																				
95	T	2 生年月日（年月日）	6		X			T								\d																				
96	T	2続柄（加入者との関係）（本人）	1		AH			T		^(|1)$																										
97	T	2続柄（加入者との関係）（配偶者）	1		AH			T		^(|2)$																										
98	T	2続柄（加入者との関係）（子供）	1		AH			T		^(|3)$																										
99	T	2続柄（加入者との関係）（親）	1		AH			T		^(|4)$																										
100	T	2続柄（加入者との関係）（兄弟姉妹）	1		AH			T		^(|5)$																										
101	T	2続柄（加入者との関係）（その他同居親族）	1		AH			T		^(|6)$																										
102	T	2続柄（加入者との関係）（役職員・その家族）	1		AH			T		^(|7)$																										
103	T	2被保険者番号	10		AH			T																												
104	T	2職業職種名	16		AH	K		T																												
105	T	2 型 ． ０１	4		AH			T																												
106	T	2 口数．０１	2		X			T								\d																		R		
107	T	２保険料．０１	9		X			T								\d																		R		
108	T	２即時追加保険料．０１	9		X			T								\d																		R		
109	T	2 型 ． ０２	4		AH			T																												
110	T	2 口数．０２	2		X			T								\d																		R		
111	T	２保険料．０２	9		X			T								\d																		R		
