TabIndex	ItemKind	ItemName	MaxLength	Required	InputMode	DefaultIMEMode	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	MultiLine	ForeColor	TabStop	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	TextAddMode	Square
1	T	帳票番号	7	T	X			T	^(|64009|64009-1)$						^[0-9\-]+$																				
2	T	証券番号  主番	10		X			T																											
3	T	証券番号  枝番	3		X			T							\d																				
4	T	送付書番号	5		X			T																											
5	T	部店担当店	4		X			T																											
6	T	代理店／仲立人	16		X			T																											
7	T	代理店コード	5		X			T																											
8	T	代理店サブコード	3		X			T																											
9	T	団体名（漢字）	16		H			T																											
10	T	団体名	16		AH	K		T																											
11	T	1 募集する保険種目種類	4		X			T																											
12	T	1 種目別部店担当店	4		X			T																											
13	T	1 種目別代理店コード	5		X			T																											
14	T	1 種目別代理店サブコード	3		X			T																											
15	T	1 団体コード	5		X			T																											
16	T	1 払込方法（63）	2		X			T	^(|63)$						\d																				
17	T	1 払込方法（62）	2		X			T	^(|62)$						\d																				
18	T	1 払込方法（61）	2		X			T	^(|61)$						\d																				
19	T	1 払込方法（10）	2		X			T	^(|10)$						\d																				
20	T	1 払込方法（60）	2		X			T	^(|60)$						\d																				
21	T	1 払込方法（46）	2		X			T	^(|46)$						\d																				
22	T	1 払込方法（30）	2		X			T	^(|30)$						\d																				
23	T	1 払込方法（42）	2		X			T	^(|42)$																										
24	T	1 払込方法（76）	2		X			T	^(|76)$						\d																				
25	T	1 払込方法（10）	2		X			T	^(|10)$						\d																				
26	T	1 共同保険特約（1）	1		X			T	^(|1)$						\d																				
27	T	1 共同保険特約（2）	1		X			T	^(|2)$						\d																				
28	T	1 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
29	T	1 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
30	T	1 補正  代理店コード	5		X			T																											
31	T	1 補正  代理店サブコード	3		X			T																											
32	T	1 補正  割合	9		X			T							^[0-9\.]+$																		R		
33	T	1 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
34	T	1 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
35	T	1 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
36	T	1 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
37	T	1 Ag Com  事務費の有無（3）	1		X			T	^(|3)$						\d																				
38	T	1 Ag Com  事務費の有無（4）	1		X			T	^(|4)$						\d																				
39	T	1 Ag Com  特殊手数料率	9		X			T							^[0-9\.]+$																		R		
40	T	1 Ag Com特殊集金事務費	9		X			T							^[0-9\.]+$																		R		
41	T	1 再保険種類コード	3					T																											
42	T	2 募集する保険種目種類	4		X			T																											
43	T	2 種目別部店担当店	4		X			T																											
44	T	2 種目別代理店コード	5		X			T																											
45	T	2 種目別代理店サブコード	3		X			T																											
46	T	2 団体コード	5		X			T																											
47	T	2 払込方法（63）	2		X			T	^(|63)$						\d																				
48	T	2 払込方法（62）	2		X			T	^(|62)$						\d																				
49	T	2 払込方法（61）	2		X			T	^(|61)$						\d																				
50	T	2 払込方法（10）	2		X			T	^(|10)$						\d																				
51	T	2 払込方法（60）	2		X			T	^(|60)$						\d																				
52	T	2 払込方法（46）	2		X			T	^(|46)$						\d																				
53	T	2 払込方法（30）	2		X			T	^(|30)$						\d																				
54	T	2 払込方法（42）	2		X			T	^(|42)$																										
55	T	2 払込方法（76）	2		X			T	^(|76)$						\d																				
56	T	2 払込方法（10）	2		X			T	^(|10)$						\d																				
57	T	2 共同保険特約（1）	1		X			T	^(|1)$						\d																				
58	T	2 共同保険特約（2）	1		X			T	^(|2)$						\d																				
59	T	2 代理店／仲立人　分担（1）	1		X			T	^(|1)$						\d																				
60	T	2 代理店／仲立人　分担（2）	1		X			T	^(|2)$						\d																				
61	T	2 補正  代理店コード	5		X			T																											
62	T	2 補正  代理店サブコード	3		X			T																											
63	T	2 補正  割合	9		X			T							^[0-9\.]+$																		R		
64	T	2 自己物件   非or自己（4）	1		X			T	^(|4)$						\d																				
65	T	2 自己物件   非or自己（5）	1		X			T	^(|5)$						\d																				
66	T	2 Ag Com  事務費の有無（1）	1		X			T	^(|1)$						\d																				
67	T	2 Ag Com  事務費の有無（2）	1		X			T	^(|2)$						\d																				
